Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",2143578.0531105986,11067244.719294382,433636.7286691245,9159225.548509438,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",2143534.933382391,9167011.543120313,433630.97613271483,7998863.635747105,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",2143498.9444668223,10045420.348085294,433624.6437792196,8426842.743945904,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",2143505.923931985,7043989.490344249,433614.76469847764,8631637.018737936,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'pH.Pre.chlorination')",2143547.0004924303,11822073.411220105,433645.7449314195,10109822.468024718,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent..ppm.', 'BOD.Pre.chlorination..ppm.')",2143553.8180361623,9503908.376959685,433662.2554526578,8152466.891425609,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent..ppm.', 'COD.Influent..ppm.')",2143496.2430411326,9161413.030692693,433625.2929571066,8006207.892004903,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",2143469.1349543487,10057490.433144348,433624.85651869565,8412885.793513404,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",2143468.9343670877,7058105.949887617,433620.42809390853,8620903.672818407,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent..ppm.', 'pH.Pre.chlorination')",2143511.720347137,11846279.771481652,433649.87903619924,10131644.449293524,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",2143587.052486098,9504761.37278464,433650.82942241675,8152631.629938486,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",2143559.6284888135,12518949.766147241,433630.29976707924,6917146.474444085,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",2143578.607944555,12553845.892938439,433647.090476889,6985000.855315554,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2143564.6621360765,9196482.543865604,433648.05612305226,7967967.478493691,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",2143502.954467878,10056735.15948549,433610.9858634425,8413763.847105835,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",2143505.004980288,7058180.39359895,433612.49208880134,8621341.76668935,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",2143538.840362342,11822132.189787569,433643.58015410573,10109696.061713664,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",2143512.0273432964,10065428.709256936,433604.8111622527,8403361.244119957,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2143475.707521469,10060162.32507292,433613.6983371223,8409768.641165974,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2143495.096412978,11825842.709569026,433618.311792038,10047834.838355962,4
