y_test_MBBR,y_test_MBBR_dropped,y_pred_final_MBBR,y_pred_final_MBBR_dropped,y_pred_oob_imputed_MBBR,y_pred_oob_MBBR,y_pred_naive_MBBR,y_pred_naive_orig_MBBR
10.0,471.0,148952.73,-5275.1484,3794.0085,9758.8,1036336.5,1045242.8826086957
471.0,1.0,148952.73,-1213663.6,-3888.515,1190.1333,1036336.5,1045242.8826086957
1.0,0.0,148952.73,1963485.6,1334.0977,1414098.9,1036336.5,1045242.8826086957
0.0,2.0,148952.73,-116206.75,1379877.1,30782.88,1036336.5,1045242.8826086957
2.0,10.0,-2979220.5,-3031377.2,12945.415,-1337.9008,1036336.5,1045242.8826086957
10.0,1.0,148952.73,23073324.0,-6040.314,3550.3826,1036336.5,1045242.8826086957
1.0,2.0,-13189778.0,1546706.4,9199.478,2788.039,1036336.5,1045242.8826086957
2.0,10.0,-747275.25,-1080991.2,12079.005,1393.9926,1036336.5,1045242.8826086957
10.0,241960.0,148952.73,32017050.0,18645.645,57090.758,1036336.5,1045242.8826086957
241960.0,2.0,8617011.0,1082668.0,10441.415,6607.6187,1036336.5,1045242.8826086957
2.0,1.0,-747275.25,1930643.8,-587.5442,-42.21295,1036336.5,1045242.8826086957
1.0,10.0,-747275.25,-1948719.4,1482.5244,8550.72,1036336.5,1045242.8826086957
10.0,2.0,-569579.9,39484.977,-1965.9734,10136.421,1036336.5,1045242.8826086957
2.0,2.0,-747275.25,380642.75,317.44556,21911.53,1036336.5,1045242.8826086957
2.0,2.0,148952.73,-12294651.0,6283.4863,16808.076,1036336.5,1045242.8826086957
2.0,823.0,-747275.25,-1087520.1,14826.524,12482.28,1036336.5,1045242.8826086957
823.0,10.0,148952.73,231172.72,6700.3115,185963.55,1036336.5,1045242.8826086957
10.0,10.0,148952.73,-78100.64,1151.3168,-200.4718,1036336.5,1045242.8826086957
10.0,24196.0,-805487.9,-6288667.5,8171.4717,6419.3467,1036336.5,1045242.8826086957
24196.0,10.0,148952.73,2157739.5,7960.137,4283.3477,1036336.5,1045242.8826086957
10.0,1.0,148952.73,-791387.7,6195.2886,2555.5823,1036336.5,1045242.8826086957
1.0,24196.0,148952.73,3589029.0,4891.602,2176.9185,1036336.5,1045242.8826086957
24196.0,350.0,148952.73,570752.5,3692.1929,5716.419,1036336.5,1045242.8826086957
350.0,20.0,-747275.25,15508.597,23312.133,101188.16,1036336.5,1045242.8826086957
20.0,24196.0,-13189778.0,-601746.5,124556.13,15421.271,1036336.5,1045242.8826086957
24196.0,10.0,390676.88,622553.06,3857.8757,-1209.9606,1036336.5,1045242.8826086957
10.0,10.0,148952.73,1217437.2,10563.621,46235.957,1036336.5,1045242.8826086957
10.0,1.0,8291578.5,-844720.2,-10577.503,544.47375,1036336.5,1045242.8826086957
1.0,10.0,148952.73,-1156725.2,1375.5043,44427.887,1036336.5,1045242.8826086957
10.0,1.0,1738359.1,-258202.47,18943.928,6010.4043,1036336.5,1045242.8826086957
1.0,10.0,-747275.25,74996880.0,1532.1472,-832.62305,1036336.5,1045242.8826086957
10.0,2.0,148952.73,2470863.5,-448.62823,453.49146,1036336.5,1045242.8826086957
2.0,10.0,-747275.25,-1005773.25,7127.673,-1039.5231,1036336.5,1045242.8826086957
10.0,10.0,148952.73,13922.828,2705.9216,-127.936325,1036336.5,1045242.8826086957
10.0,920.0,390676.88,1179401.6,15937.078,8055.3354,1036336.5,1045242.8826086957
920.0,5.0,148952.73,49672.434,931.4166,111254.44,1036336.5,1045242.8826086957
5.0,20.0,148952.73,24436666.0,109723.08,-1520.0012,1036336.5,1045242.8826086957
20.0,2.0,-569579.9,120385.836,-430.75336,1997.169,1036336.5,1045242.8826086957
