Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",0.5812382999134487,1.8900086073734665,0.045469709856916625,0.10222077037980218,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",0.5755858514370237,1.8196685203737875,0.062083110734342035,0.12321169862775762,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",0.5584432049985264,1.8058741654288983,0.050028773471810825,0.15444542724050916,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'pH.Pre.chlorination')",0.5243822600496746,1.75733257246171,0.052401396241429365,0.10647250988613997,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.')",0.5544622920677684,1.9073873912733774,0.06074047120006455,0.1652261587228306,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",0.5733484388918378,1.7718297946354642,0.035771634112884386,0.15310757716502202,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",0.567345629820484,1.8902372570161177,0.06346657244949097,0.12274142135461269,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",0.5507974598711864,1.861796261573155,0.06054384980380299,0.1454729511690703,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",0.5547396399554072,1.7550276357574979,0.05928992629519389,0.13471157090522073,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'pH.Pre.chlorination')",0.5356170169771335,1.789286523762085,0.052767186457555314,0.17530164816788738,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent...ppm.', 'BOD.Pre.chlorination..ppm.')",0.5687524113912006,1.8466073908927025,0.07113941790132823,0.24582078061468957,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent...ppm.', 'COD.Influent..ppm.')",0.6014396747755606,1.961560440324845,0.07865508220466504,0.10667221281543893,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent...ppm.', 'COD.Pre.chlorination..ppm.')",0.5739671468599805,1.8645865530361418,0.07764848015914563,0.14411046065794542,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent...ppm.', 'TSS.Pre.chlorination..ppm.')",0.5825488654413069,1.8686916830926812,0.06878446100420718,0.14981765133208036,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent...ppm.', 'pH.Pre.chlorination')",0.5183462113435862,1.8781271099531196,0.04023939027876523,0.16779526850482337,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",0.616533522767301,1.895237174104404,0.10688738995742306,0.15275821778247348,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",0.6295711210095576,1.9286206793424205,0.03144942513285811,0.11310508190740039,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",0.6159521933505696,1.8063786059849005,0.07481116240516493,0.135806884789762,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",0.5448748755252396,1.8129232128107873,0.05458461859342362,0.2309823479144001,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",0.5927701649260453,1.9313668433342073,0.020836333066226294,0.07504592085318011,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",0.581870873244638,1.8344780257797282,0.04825167099953163,0.12872135565092932,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",0.5297070476275721,1.8041597203302622,0.049711585834511046,0.1353947569180918,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",0.6135619192997327,1.7061457583594226,0.05590076437979011,0.12294545920788075,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",0.5073049657326592,1.8478797694830764,0.05244539542129935,0.09614669262362045,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",0.588347759087825,1.7385407030137785,0.018733615047835384,0.13282586130753316,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.')",0.6053996468099607,1.8870649924971168,0.05681840967251558,0.16487464328114929,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",0.5716634380979203,1.9372767376017195,0.04135278767666358,0.1013428934556143,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",0.6259162305974865,2.017412667294,0.06611857764209202,0.08221880088954872,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",0.5720081886144278,1.835322677848006,0.057894601532961755,0.14254624565783272,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",0.5513268462351637,1.8531117210476644,0.040578867703369145,0.09000525632549748,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'pH.Pre.chlorination')",0.5623023513369038,1.966058461053683,0.033822897262592716,0.09430744169614141,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.', 'BOD.Pre.chlorination..ppm.')",0.6170845437092085,1.8726310390939176,0.06331653920352197,0.16990856499566112,4
