y_test_MBBR,y_test_MBBR_dropped,y_pred_final_MBBR,y_pred_final_MBBR_dropped,y_pred_oob_imputed_MBBR,y_pred_oob_MBBR,y_pred_naive_MBBR,y_pred_naive_orig_MBBR
4.912,3.06,3.1332517,1.783462,3.2600908,2.763672,2.082140517241379,2.0811829268292685
3.554,3.976,1.9656405,3.0479445,2.1259913,2.8342147,2.082140517241379,2.0811829268292685
0.087,5.0,0.8223875,1.783462,2.01964,2.0299754,2.082140517241379,2.0811829268292685
5.0,5.0,2.0851839,4.9883456,2.1036575,4.626886,2.082140517241379,2.0811829268292685
0.497,1.314,2.5415246,1.6626992,2.0189486,1.0832453,2.082140517241379,2.0811829268292685
1.874,0.9,1.8039261,3.0479445,1.7369837,3.7546182,2.082140517241379,2.0811829268292685
4.0344,1.18,3.7755911,0.06527434,4.09454,1.3129094,2.082140517241379,2.0811829268292685
1.7310000000000003,0.367,1.6572067,1.783462,2.4886248,1.5849807,2.082140517241379,2.0811829268292685
2.171,0.29,1.0838311,1.3948628,0.74704313,-0.10826184,2.082140517241379,2.0811829268292685
0.906,2.56,0.43537605,3.6548932,0.3037348,4.3827105,2.082140517241379,2.0811829268292685
3.872,0.361,0.5659601,1.783462,1.2754996,3.2241027,2.082140517241379,2.0811829268292685
5.0,0.572,3.447008,0.2556991,4.15841,0.4048215,2.082140517241379,2.0811829268292685
0.21000000000000002,1.568,1.4886292,0.3167593,1.8459312,1.2591457,2.082140517241379,2.0811829268292685
2.4676,0.67,3.3220131,3.328228,3.491992,2.38635,2.082140517241379,2.0811829268292685
2.393,3.403,1.8297783,4.857248,1.213601,3.4404042,2.082140517241379,2.0811829268292685
2.23,0.84,3.449228,5.4917865,4.6249804,3.967254,2.082140517241379,2.0811829268292685
1.7213999999999998,5.0,1.5346282,3.6548932,0.88055056,3.0266807,2.082140517241379,2.0811829268292685
2.211,0.04,2.2013085,0.3167593,1.2330264,0.24590199,2.082140517241379,2.0811829268292685
0.168,0.807,0.9739578,0.2371178,1.3002665,0.3499078,2.082140517241379,2.0811829268292685
0.176,2.19,0.6293373,5.4917865,0.42919725,2.3224692,2.082140517241379,2.0811829268292685
0.285,0.061,2.2942924,0.3167593,3.1073732,0.85275114,2.082140517241379,2.0811829268292685
2.16,4.85,2.2971125,5.147792,1.4922901,5.0427036,2.082140517241379,2.0811829268292685
0.23359999999999997,,2.6294837,,2.1436958,,2.082140517241379,2.0811829268292685
0.42699999999999994,,1.2094223,,0.7084555,,2.082140517241379,2.0811829268292685
0.951,,1.9079256,,1.3349315,,2.082140517241379,2.0811829268292685
0.2444,,1.2840143,,0.074977495,,2.082140517241379,2.0811829268292685
0.2822,,-0.24929065,,0.031073391,,2.082140517241379,2.0811829268292685
0.269,,0.29769796,,0.33299416,,2.082140517241379,2.0811829268292685
0.6262000000000001,,2.0012126,,2.1544185,,2.082140517241379,2.0811829268292685
2.74,,2.4756546,,2.921354,,2.082140517241379,2.0811829268292685
2.379,,2.1536953,,0.74249595,,2.082140517241379,2.0811829268292685
3.06,,1.4901173,,2.4522674,,2.082140517241379,2.0811829268292685
3.976,,1.6202644,,2.2036355,,2.082140517241379,2.0811829268292685
5.0,,3.0078616,,2.8850112,,2.082140517241379,2.0811829268292685
5.0,,4.759803,,5.138666,,2.082140517241379,2.0811829268292685
3.7694,,2.7642395,,3.7675924,,2.082140517241379,2.0811829268292685
1.314,,1.8445514,,3.672685,,2.082140517241379,2.0811829268292685
0.9,,1.4718034,,4.0250072,,2.082140517241379,2.0811829268292685
0.388,,1.6621245,,1.0572155,,2.082140517241379,2.0811829268292685
2.0672,,3.44565,,2.2394817,,2.082140517241379,2.0811829268292685
1.18,,2.030619,,2.257851,,2.082140517241379,2.0811829268292685
5.0,,5.5158925,,4.164938,,2.082140517241379,2.0811829268292685
0.367,,1.5324737,,0.5865092,,2.082140517241379,2.0811829268292685
0.29,,0.72169125,,0.024376303,,2.082140517241379,2.0811829268292685
2.5292000000000003,,2.4029415,,1.2752779,,2.082140517241379,2.0811829268292685
2.56,,3.2196412,,2.8633137,,2.082140517241379,2.0811829268292685
0.361,,3.365357,,2.2878509,,2.082140517241379,2.0811829268292685
0.572,,0.583741,,2.0951643,,2.082140517241379,2.0811829268292685
1.568,,1.6460577,,1.0134138,,2.082140517241379,2.0811829268292685
2.8739999999999997,,4.057565,,4.812652,,2.082140517241379,2.0811829268292685
