y_test_CAS,y_test_CAS_dropped,y_pred_final_CAS,y_pred_final_CAS_dropped,y_pred_oob_imputed_CAS,y_pred_oob_CAS,y_pred_naive_CAS,y_pred_naive_orig_CAS
10.0,10.0,13.603512,57.79238,435.3485,-16.930225,112328.60966183574,112871.10194174758
10.0,10.0,13.5454035,2.695337,-126.29387,-4.4050326,112328.60966183574,112871.10194174758
132.0,132.0,12.024288,661.8469,55.51347,1344.2151,112328.60966183574,112871.10194174758
1.0,1.0,20.828766,2294.8225,401.774,2002.7039,112328.60966183574,112871.10194174758
74.0,74.0,8.2485895,3648.8972,119.61638,3605.6726,112328.60966183574,112871.10194174758
15531.0,15531.0,-5.880653,23132.137,1423.9852,20211.213,112328.60966183574,112871.10194174758
10.0,10.0,126.26342,3802.5505,90.22516,102.58246,112328.60966183574,112871.10194174758
2.0,2.0,2.619969,14.758519,126.13637,-45.717186,112328.60966183574,112871.10194174758
10.0,10.0,-11.251841,2620.5645,211.01498,160.65704,112328.60966183574,112871.10194174758
10.0,10.0,8.284778,111.69186,9.135801,-96.3955,112328.60966183574,112871.10194174758
2.0,2.0,-91.16333,116.05898,11.17447,3.6304166,112328.60966183574,112871.10194174758
1.0,1.0,604.268,23.207962,5574.6426,3943.2166,112328.60966183574,112871.10194174758
1.0,1.0,-9.617141,128.75165,-28.666077,-169.06755,112328.60966183574,112871.10194174758
2.0,2.0,17.412334,-5.338957,162.22554,-0.6675577,112328.60966183574,112871.10194174758
10.0,10.0,10.2186985,-16.321787,-10.924374,22.701866,112328.60966183574,112871.10194174758
140.0,140.0,8022.486,161.57898,3894.1675,608.88556,112328.60966183574,112871.10194174758
10.0,10.0,8.042525,21.33078,228.58719,44.910492,112328.60966183574,112871.10194174758
2.0,2.0,110.161644,46.216103,154.09421,18.776693,112328.60966183574,112871.10194174758
10.0,10.0,3419.9875,-77.81552,6411.822,16.948925,112328.60966183574,112871.10194174758
10.0,10.0,2.8779235,28.245394,-60.135815,109.26109,112328.60966183574,112871.10194174758
103.0,103.0,119.44373,31.111238,2781.7522,80.623184,112328.60966183574,112871.10194174758
10.0,10.0,6.7341967,10.63984,-51.913273,-0.6898513,112328.60966183574,112871.10194174758
2.0,2.0,9.656476,9.772599,-76.75192,22.72017,112328.60966183574,112871.10194174758
1.0,1.0,184.8005,-386.13232,2482.1233,-229.95802,112328.60966183574,112871.10194174758
1.0,1.0,114.5878,-273.0385,636.67706,3.2871876,112328.60966183574,112871.10194174758
10.0,10.0,8.19344,32.389164,67.87627,3.2871876,112328.60966183574,112871.10194174758
1.0,1.0,146.51717,53.791542,286.11243,4076.7742,112328.60966183574,112871.10194174758
10.0,10.0,7921.1626,1223.6943,10953.432,75.14843,112328.60966183574,112871.10194174758
10.0,10.0,49.248066,114.67164,3445.4155,2360.0833,112328.60966183574,112871.10194174758
10.0,10.0,80.81039,-0.5587168,7163.7217,108.27962,112328.60966183574,112871.10194174758
1.0,1.0,12.805485,3396.9656,2297.683,677.68134,112328.60966183574,112871.10194174758
2.0,2.0,10.104122,189.40408,4431.5366,1569.6893,112328.60966183574,112871.10194174758
15.0,15.0,-3.6942503,3.3470037,81.66104,-6.9123216,112328.60966183574,112871.10194174758
2.0,2.0,8056.0747,104.2903,22851546.0,22851550.0,112328.60966183574,112871.10194174758
418.0,418.0,1.8167121,-5.3005385,160.07845,604.76306,112328.60966183574,112871.10194174758
10.0,10.0,-82.71391,-269.107,1299.2896,-169.06755,112328.60966183574,112871.10194174758
10.0,10.0,8782.746,2524.5095,300.58267,285.38995,112328.60966183574,112871.10194174758
10.0,10.0,5.070937,-14.31392,4172.8916,-27.959442,112328.60966183574,112871.10194174758
5.0,5.0,-3.4017112,138.7443,3143.511,487.94125,112328.60966183574,112871.10194174758
2419.0,2419.0,-77.11698,-1.4886173,274.4842,1117.5828,112328.60966183574,112871.10194174758
1.0,1.0,1.4739888,48.567123,1297.9082,899.7502,112328.60966183574,112871.10194174758
10.0,10.0,70.75984,-3.6490717,21.993736,0.9196086,112328.60966183574,112871.10194174758
5028.0,5028.0,-89.47379,1898.0898,17.302528,4466.47,112328.60966183574,112871.10194174758
10.0,10.0,39.355446,-13.364732,1204.7561,941.8692,112328.60966183574,112871.10194174758
2.0,2.0,3.77011,-0.26693368,3238.0647,32.90471,112328.60966183574,112871.10194174758
24196.0,24196.0,16.805733,-13.972919,4567.1597,4790.0415,112328.60966183574,112871.10194174758
10.0,10.0,130.8207,-52.96524,761.94305,57.384003,112328.60966183574,112871.10194174758
