y_test_MBBR,y_test_MBBR_dropped,y_pred_final_MBBR,y_pred_final_MBBR_dropped,y_pred_oob_imputed_MBBR,y_pred_oob_MBBR,y_pred_naive_MBBR,y_pred_naive_orig_MBBR
0.42699999999999994,,3.3049328,,3.5846894,,2.082140517241379,2.0811829268292685
0.951,,2.1356292,,1.2719134,,2.082140517241379,2.0811829268292685
0.2444,,0.3768553,,0.30248195,,2.082140517241379,2.0811829268292685
0.2822,,1.5610114,,1.6662642,,2.082140517241379,2.0811829268292685
0.269,,0.37824228,,0.62816995,,2.082140517241379,2.0811829268292685
0.6262000000000001,,0.6409306,,0.46282947,,2.082140517241379,2.0811829268292685
2.74,,2.9414184,,2.179372,,2.082140517241379,2.0811829268292685
2.379,,3.856086,,2.7456303,,2.082140517241379,2.0811829268292685
3.06,,1.42453,,2.5137508,,2.082140517241379,2.0811829268292685
3.976,,2.45232,,3.992291,,2.082140517241379,2.0811829268292685
5.0,,2.8175218,,3.5398715,,2.082140517241379,2.0811829268292685
5.0,,4.509563,,5.159684,,2.082140517241379,2.0811829268292685
3.7694,,3.512543,,4.09465,,2.082140517241379,2.0811829268292685
1.314,,3.782579,,3.2384973,,2.082140517241379,2.0811829268292685
0.9,,3.954647,,3.8482792,,2.082140517241379,2.0811829268292685
0.388,,0.5985563,,1.0391035,,2.082140517241379,2.0811829268292685
2.0672,,2.367242,,2.6183312,,2.082140517241379,2.0811829268292685
1.18,,1.5918574,,1.9511077,,2.082140517241379,2.0811829268292685
5.0,,4.7329335,,4.8017535,,2.082140517241379,2.0811829268292685
0.367,,2.7182941,,3.3993628,,2.082140517241379,2.0811829268292685
0.29,,0.107035056,,0.51983553,,2.082140517241379,2.0811829268292685
2.5292000000000003,,2.9320507,,3.7666368,,2.082140517241379,2.0811829268292685
2.56,,4.219727,,3.501613,,2.082140517241379,2.0811829268292685
0.361,,2.3715413,,2.9023838,,2.082140517241379,2.0811829268292685
0.572,,0.63168424,,0.78480124,,2.082140517241379,2.0811829268292685
1.568,,0.8964603,,0.3171588,,2.082140517241379,2.0811829268292685
2.8739999999999997,,3.6556075,,2.9560814,,2.082140517241379,2.0811829268292685
2.4494,,3.7077386,,4.0200047,,2.082140517241379,2.0811829268292685
0.67,,3.096763,,3.9975421,,2.082140517241379,2.0811829268292685
3.403,,3.2084136,,3.6069353,,2.082140517241379,2.0811829268292685
0.8400000000000001,,2.9305668,,3.9810147,,2.082140517241379,2.0811829268292685
5.0,,3.4245155,,2.7356086,,2.082140517241379,2.0811829268292685
0.04,,0.040434178,,0.30160692,,2.082140517241379,2.0811829268292685
3.6454,,3.282407,,3.4991124,,2.082140517241379,2.0811829268292685
0.807,,0.8740496,,0.6274484,,2.082140517241379,2.0811829268292685
2.19,,2.7325373,,2.6463532,,2.082140517241379,2.0811829268292685
3.6358000000000006,,3.690342,,3.903728,,2.082140517241379,2.0811829268292685
0.061,,0.9208039,,0.6754854,,2.082140517241379,2.0811829268292685
3.5238,,2.4346278,,2.906596,,2.082140517241379,2.0811829268292685
0.2486,,0.50055766,,0.32615134,,2.082140517241379,2.0811829268292685
4.85,,3.3657804,,4.280487,,2.082140517241379,2.0811829268292685
4.526400000000001,,3.786748,,4.1341486,,2.082140517241379,2.0811829268292685
