Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",280083.87730421836,1293148.6147977996,139583.1490051162,1592927.478034389,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",280083.8034282296,1293086.2850839922,139583.19071050806,1592771.973627715,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",280112.58254757256,1293312.9008366812,139526.76765877142,1592949.5308305516,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",280067.7754255932,1292797.9918934898,139610.97458723077,1592119.165609809,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'pH.Pre.chlorination')",280049.82664727734,1293079.8388379486,139652.39254935458,1592641.7412089615,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.', 'BOD.Pre.chlorination..ppm.')",280042.0851330867,723666.3381086354,139661.22025091297,1433663.7332321366,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.', 'COD.Influent..ppm.')",280112.9907141045,1529749.3524384717,139531.5613068437,1870646.4084630238,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.', 'COD.Pre.chlorination..ppm.')",280087.64514189033,1539472.304244941,139577.50977211384,1883524.9700833103,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.', 'TSS.Pre.chlorination..ppm.')",280061.82818392233,2355068.8635198316,139625.27816564238,1926196.801408962,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.', 'pH.Pre.chlorination')",280069.0975424909,1539343.8194591445,139612.1321758431,1883339.4127875166,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",280090.87764982326,723725.2740027467,139567.34646878036,1433906.0028344523,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",280116.3443192149,723671.5288593839,139517.1345464543,1433950.4875637651,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",280072.58011300367,723973.3391264068,139599.3331113888,1433989.615969048,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280076.97457725357,723362.9070825061,139597.46057522652,1433691.524464829,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",280142.44883622415,1529806.3510472628,139476.5945832497,1870443.3053308872,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",280067.3539779329,1775318.8084908605,139622.30623376757,1728907.9377744452,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",280085.8396826057,1529768.2746954462,139590.66380938317,1870442.085065659,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",280049.4358387647,2354702.011733967,139648.0118659971,1925841.9066731723,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280074.6967027026,1300000.9077220366,139603.63425325078,1599735.0175477988,4
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280038.4857446003,2355068.2447552728,139672.1261831789,1926191.5082235972,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.', 'BOD.Pre.chlorination..ppm.')",280084.02536953933,1293182.9312312312,139580.88061734775,1593066.8714626543,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.', 'COD.Influent..ppm.')",280101.9677328845,1292844.2213630008,139544.32778416516,1592962.172094362,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.', 'COD.Pre.chlorination..ppm.')",280085.1405985175,1292898.679720878,139580.67827379683,1592835.9274963064,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.', 'TSS.Pre.chlorination..ppm.')",280061.6412176809,1292787.0928212968,139623.69090132,1592906.8953986454,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.', 'pH.Pre.chlorination')",280056.28106551804,1293098.6259181532,139638.54403742554,1592760.7059807882,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",280084.71623691265,1292999.4755400477,139578.88080391026,1593093.7180959682,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",280087.6152553596,1293006.0254956093,139576.0896424219,1593198.8936323198,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",280064.0751014293,1293146.3725849963,139615.96633571273,1593079.5265953871,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280068.60194466205,1293048.1756134664,139612.99238408668,1592968.063848963,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",280094.8121112585,1292961.267044758,139558.7711718757,1592887.5231858846,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",280048.4137999207,1292639.0765696028,139648.60804203822,1592214.883971976,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",280078.8797273254,1292971.025918164,139592.88653864176,1592762.6572200852,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",280054.2132180476,1292539.8419063126,139634.81922616586,1592168.7462133043,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280072.51608787116,1293274.5564131744,139605.13637574948,1592802.748055854,4
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280056.1572714021,1292775.5118058275,139633.8462901253,1592216.6344481586,4
"('Chlorine.Dosage..L.d.', 'BOD.Influent...ppm.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",280067.26438563707,723639.8300726699,139610.60907264033,1434064.6192184407,4
"('Chlorine.Dosage..L.d.', 'BOD.Influent...ppm.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",280059.49910425144,723499.3306245932,139629.43925928953,1433760.5155341676,4
"('Chlorine.Dosage..L.d.', 'BOD.Influent...ppm.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",280062.72533745837,723700.4147578685,139616.86284599057,1434129.409047184,4
"('Chlorine.Dosage..L.d.', 'BOD.Influent...ppm.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280037.24474839726,723840.6359180852,139672.31140791744,1433997.4318165558,4
"('Chlorine.Dosage..L.d.', 'BOD.Influent...ppm.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",280082.4959346029,1529640.3998572885,139593.2671097648,1870442.8939403293,4
"('Chlorine.Dosage..L.d.', 'BOD.Influent...ppm.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",280056.8966178022,1775438.8052999906,139642.1758268887,1729531.9379517336,4
"('Chlorine.Dosage..L.d.', 'BOD.Influent...ppm.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",280101.9712740707,1529494.5871779532,139552.71025091066,1870372.9114564834,4
"('Chlorine.Dosage..L.d.', 'BOD.Influent...ppm.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",280069.2093282359,2355169.066871227,139608.39945270307,1926327.8481929472,4
"('Chlorine.Dosage..L.d.', 'BOD.Influent...ppm.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280079.3231279158,1539541.7232310686,139590.86467991228,1883521.542839257,4
"('Chlorine.Dosage..L.d.', 'BOD.Influent...ppm.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280062.2223072027,2354955.5959345717,139625.78489113366,1926247.4757778142,4
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",280089.9001603233,723598.6942653093,139569.1209766895,1433791.159691251,4
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",280067.19484017184,723985.6691548799,139607.92141617095,1433539.0713385146,4
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",280045.5728945931,723636.4639033322,139658.49110014288,1433801.7342057365,4
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",280048.87322331814,723507.3642359521,139645.6561244088,1434086.3211072567,4
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280069.67360262,723500.7106928177,139611.69260647302,1433883.8198235682,4
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280077.2849956333,723803.9632494474,139589.65345392286,1434015.3582591207,4
"('Chlorine.Dosage..L.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",280029.822956046,1775150.3136788323,139693.5878345188,1729088.6708304053,4
"('Chlorine.Dosage..L.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280069.90997945506,1529764.465923541,139620.1316423162,1870432.051176573,4
"('Chlorine.Dosage..L.d.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280050.71570029383,1775610.679383048,139655.21573049604,1729342.3735803503,4
"('Chlorine.Dosage..L.d.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",280041.2140086213,2354981.5547900656,139664.82394875816,1926432.196890343,4
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.')",280094.0862454035,1292844.7560401557,139550.04576412847,1593327.8382564306,5
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",280055.09509737405,1292893.4704781105,139626.72792278448,1592958.5678642371,5
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",280040.0343706244,1292803.4670123544,139657.0776564342,1592979.9992181696,5
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",280098.28136819816,1292921.4964526931,139540.90133086778,1593270.4773358167,5
